planet_name,number_stars_in_system,number_planets_in_system,discovery_method,discovery_year,planet_orbital_period_(days),planet_mass_(earths),star_temp_(K),star_mass_(suns),star_luminosity_(abs),system_distance_from_earth_(pc)
HD 95127 b,1,1,Radial Velocity,2015,482,3378.5329,4218,3.7,2.28,676.579
HD 95338 b,1,1,Radial Velocity,2020,55.087,42.44,5212,0.83,-0.31,36.9941
HD 95544 b,1,1,Radial Velocity,2021,2172,2173.9463,5722,1.09,0.478,87.8049
HD 95735 c,1,2,Radial Velocity,2021,3190,18.05265,3719.95,0.39,-1.71,5.675773
HD 95872 b,1,1,Radial Velocity,2015,4375,1188.6842,5312,0.7,-0.242,72.2195
HD 96063 b,1,1,Radial Velocity,2011,362.5,403.6441,5020,1.37,1.104,140.065
HD 96127 b,1,1,Radial Velocity,2011,647.29999,6661.7168,3943,10.94,2.86,587.659
HD 96167 b,2,1,Radial Velocity,2009,498.04,227.88411,5733,1.27,0.57,85.3006
HD 96992 b,1,1,Radial Velocity,2021,514,362.3262,4725,0.96,1.47,396.082
HD 97048 b,1,1,Disk Kinematics,2019,,794.575,10000,2.4,1.602,183.857
HD 97658 b,1,1,Radial Velocity,2010,9.4897116,8.3,5212,0.85,-0.455,21.5618
HD 98219 b,1,1,Radial Velocity,2011,433.8,624.21812,4925,1.41,1.049,113.704
HD 98649 b,1,1,Radial Velocity,2012,6022.9725,2158.0657,5790,1.03,-0.066,42.1727
HD 98736 b,2,1,Radial Velocity,2018,968.8,740.5439,5271,0.92,-0.22,32.4459
HD 99109 b,1,1,Radial Velocity,2005,439.29999,139.8452,5282,0.76,-0.172,54.7901
HD 99492 b,2,1,Radial Velocity,2004,17.0431,22.2481,4815,0.48,-0.475,18.2038
HD 99706 b,1,2,Radial Velocity,2011,841,390.9309,4862,1.46,1.188,146.6
HD 99706 c,1,2,Radial Velocity,2018,1278,1808.4527,4862,1.72,1.302,146.6
HIP 105854 b,1,1,Radial Velocity,2014,184.2,2606.1,4780,2.1,1.67,78.6381
HIP 107772 b,1,1,Radial Velocity,2020,55.199,12.9,4006,0.63,-1.163,23.6434
HIP 107773 b,1,1,Radial Velocity,2015,144.3,629.3034,4945,2.42,1.87,105.18
HIP 109384 b,1,1,Radial Velocity,2016,499.48,495.8148,5180,0.78,-0.319,58.9582
HIP 109600 b,2,1,Radial Velocity,2016,232.08,851.7844,5530,0.87,-0.079,66.3361
HIP 114933 b,1,1,Radial Velocity,2021,1481.6,616.58711,4823,1.39,1.14,101.766
HIP 116454 b,2,1,Transit,2014,9.1205,12.7132,5089,0.81,-0.471,62.4491
HIP 12961 b,1,1,Radial Velocity,2010,57.435,114.4188,3901,0.69,-1.003,23.371
HIP 14810 b,1,3,Radial Velocity,2005,6.673892,1239.537,5544,1.01,-0.01,50.48
HIP 14810 c,1,3,Radial Velocity,2006,147.747,416.3573,5544,1.01,-0.01,50.48
HIP 14810 d,1,3,Radial Velocity,2009,981.8,187.5197,5544,1.01,-0.01,50.48
HIP 35173 b,1,1,Radial Velocity,2019,41.516,12.7,4881,0.79,-0.514,33.1562
HIP 38594 b,1,2,Radial Velocity,2020,60.722,8.1,4086.3,0.61,-1.062,17.7886
HIP 38594 c,1,2,Radial Velocity,2020,3477.768,48.4,4086.3,0.61,-1.062,17.7886
HIP 41378 b,1,5,Transit,2016,15.572098,8.75,6226,1.17,0.396,106.289
HIP 41378 c,1,5,Transit,2016,31.70648,7.08,6226,1.17,0.396,106.289
HIP 41378 d,1,5,Transit,2016,1114,14.9,6226,1.17,0.396,106.289
HIP 41378 e,1,5,Transit,2016,131,26,6226,1.17,0.396,106.289
HIP 41378 f,1,5,Transit,2016,1084,74,6226,1.17,0.396,106.289
HIP 4845 b,1,1,Radial Velocity,2020,34.15,14.4,4010,0.62,-1.034,21.0974
HIP 48714 b,1,1,Radial Velocity,2020,17.818,22.9,4015.5,0.58,-1.156,10.5298
HIP 5158 b,1,2,Radial Velocity,2009,345.72,451,4962,0.78,-0.959,51.6026
HIP 5158 c,1,2,Radial Velocity,2011,9017.76,4780.1632,4813,0.78,-0.561,51.6026
HIP 54373 b,1,2,Radial Velocity,2019,7.76,8.62,4021,0.57,-1.222,18.7168
HIP 54373 c,1,2,Radial Velocity,2019,15.144,12.44,4021,0.57,-1.222,18.7168
HIP 56640 b,1,1,Radial Velocity,2021,2574.9,1166.43025,4769,1.04,1.05,122.324
HIP 57274 b,1,3,Radial Velocity,2011,8.1352,6.3566,4510,0.29,0.19,25.8618
HIP 57274 c,1,3,Radial Velocity,2011,32.03,130,4640,0.73,0.19,25.8618
HIP 57274 d,1,3,Radial Velocity,2011,431.7,167.4,4640,0.73,0.19,25.8618
HIP 63242 b,1,1,Radial Velocity,2013,124.6,2917.56,4830,1.54,1.63,156.456
HIP 65 A b,2,1,Transit,2020,0.9809734,1021.18779,4590,0.78,-0.678,61.7856
HIP 65407 b,1,2,Radial Velocity,2016,28.125,136.03124,5460,0.93,-0.186,61.7804
HIP 65407 c,1,2,Radial Velocity,2016,67.3,249.17872,5460,0.93,-0.186,61.7804
HIP 65426 b,1,1,Imaging,2017,,2860.47,8840,1.96,1.269,108.875
HIP 65891 b,1,1,Radial Velocity,2015,1084.5,1906.98,5000,2.5,1.65,150.292
HIP 67522 b,1,1,Transit,2020,6.959503,72.4,5675,1.22,0.243,127.28
HIP 67537 b,1,1,Radial Velocity,2017,2556.5,3527.913,4985,2.41,1.617,116.046
HIP 67851 b,1,2,Radial Velocity,2015,88.9,438.6054,4890,1.63,1.244,64.1181
HIP 67851 c,1,2,Radial Velocity,2015,2131.8,2002.2,4890,1.63,1.244,64.1181
HIP 70849 b,2,1,Radial Velocity,2009,17337.5,2860,4105,0.63,-1.048,24.0572
HIP 71135 b,1,1,Radial Velocity,2019,87.19,18.8,4146,0.66,-0.908,32.3311
HIP 74890 b,1,1,Radial Velocity,2016,822.3,762.792,4850,1.74,1.215,78.6562
HIP 75092 b,1,1,Radial Velocity,2021,926.4,568.91285,4891,1.28,1.02,81.6696
HIP 78530 b,1,1,Imaging,2010,,7300,10500,2.5,1.368,136.759
HIP 79098 AB b,2,1,Imaging,2019,,6515.515,9193.75,3.75,,145.798
HIP 79431 b,1,1,Radial Velocity,2009,111.7,667.415,3420,0.48,-1.549,14.5324
HIP 8541 b,2,1,Radial Velocity,2016,1560.2,1748.065,4670,1.17,1.405,155.121
HIP 90988 b,1,1,Radial Velocity,2021,453.9,622.94368,4883,1.3,0.89,94.0349
HIP 91258 b,1,1,Radial Velocity,2013,5.0505,346.4347,5519,0.97,-0.222,45.8846
HIP 97233 b,1,1,Radial Velocity,2014,1058.8,6356.3,5020,1.93,1.204,102.275
HN Peg b,1,1,Imaging,2006,,6991.57,5927.14,1.08,0.055,18.1186
HR 2562 b,1,1,Imaging,2016,,9534.9,6785,1.3,0.531,34.0071
HR 5183 b,2,1,Radial Velocity,2019,27000,1026.5909,5794,1.07,0.397,31.4607
HR 810 b,1,1,Radial Velocity,1999,302.79999,721.4741,6167,1.34,0.253,17.3181
HR 858 b,2,3,Transit,2019,3.58599,5,6201,1.15,0.371,31.964
HR 858 c,2,3,Transit,2019,5.97293,4.42,6201,1.15,0.371,31.964
HR 858 d,2,3,Transit,2019,11.23,5.32,6201,1.15,0.371,31.964
HR 8799 b,1,4,Imaging,2008,170000,2000,7204.58,1.61,0.733,41.2441
HR 8799 c,1,4,Imaging,2008,69000,3000,7204.58,1.61,0.733,41.2441
HR 8799 d,1,4,Imaging,2008,37000,3000,7204.58,1.61,0.733,41.2441
HR 8799 e,1,4,Imaging,2010,20815.6,3178.3,7400,1.51,0.733,41.2441
HU Aqr AB b,2,2,Eclipse Timing Variations,2011,2390,1875.197,5952,0.88,,192.1980787
HU Aqr AB c,2,2,Eclipse Timing Variations,2011,4368,1430.235,5952,0.88,,192.1980787
HW Vir b,3,1,Eclipse Timing Variations,2012,4640,4602.90201,8868.67,0.48,,171.701
IC 4651 9122 b,1,1,Radial Velocity,2018,734,2002.329,4740.1,2.1,1.636,859.324
K2-10 b,1,1,Transit,2015,19.3044,27,5620,0.92,-0.101,272.36
K2-100 b,1,1,Transit,2016,1.6739035,21.8,5945,1.15,0.25,188.959
K2-101 b,1,1,Transit,2016,14.6762429,4.66,4927,0.82,-0.595,188.33
K2-102 b,1,1,Transit,2016,9.915615,2.24,4695,0.77,-0.657,188.175
K2-104 b,1,1,Transit,2016,1.9741954,3.86,3712,0.51,-1.434,189.289
K2-105 b,1,1,Transit,2017,8.2669928,30,5636,1.05,-0.189,197.989
K2-107 b,1,1,Transit,2017,3.313959,266.9772,6061,1.3,0.464,685.2
K2-108 b,1,1,Transit,2017,4.733999,59.4,5599,1.17,0.405,477.295
K2-11 b,1,1,Transit,2015,39.93767,44.4,5433,1.35,-0.31,329.309
K2-110 b,1,1,Transit,2017,13.86387,16.7,4950,0.75,-0.567,116.474
K2-111 b,1,2,Transit,2017,5.3518,5.29,5775,0.84,0.279,200.394
K2-111 c,1,2,Radial Velocity,2020,15.6785,11.3,5775,0.84,0.119,200.394
K2-113 b,1,1,Transit,2017,5.817685,410.0007,5660,1.04,0.009,635.722
K2-114 b,1,1,Transit,2017,11.3909344,587.9855,5039,0.89,-0.395,475.758
K2-115 b,1,1,Transit,2017,20.272615,266.9772,5657,0.95,-0.145,413.591
K2-116 b,1,1,Transit,2017,4.655411,0.257,4348.35,0.69,-0.734,49.3855
K2-117 b,1,2,Transit,2017,1.2916,4.78,3778,0.54,-1.357,101.632
K2-117 c,1,2,Transit,2017,5.444017,4.9,3778,0.54,-1.357,101.632
K2-118 b,1,1,Transit,2017,50.92092,6.99,4726.29,0.76,-0.526,321.722
K2-119 b,1,1,Transit,2017,7.727283,6.94,4740,0.76,-0.685,365.581
K2-12 b,1,1,Transit,2015,8.28212,6.04,5800,1.01,0.072,326.381
K2-120 b,1,1,Transit,2017,9.562742,4.7,4349.9,0.69,-0.664,289.543874
K2-121 b,1,1,Transit,2017,5.1857539,44.1,4690,0.69,-0.745,169.398
K2-122 b,2,1,Transit,2017,2.2193023,1.65,4009,0.63,-1.102,72.0444
K2-123 b,1,1,Transit,2017,30.951524,8.05,4035,0.62,-1.143,161.555
K2-124 b,1,1,Transit,2017,6.413651,8.75,3570,0.39,-1.659,140.385
K2-125 b,1,1,Transit,2017,21.750264,5.39,3654.47,0.49,-1.641,124.156
K2-126 b,1,1,Transit,2017,7.385655,4.54,4339,0.69,-0.878,102.953
K2-127 b,1,1,Transit,2017,3.588163,52.9,4575,0.72,-0.254,709.999
K2-128 b,1,1,Transit,2017,5.675819,2.6,4469.51,0.71,-0.766,114.637
K2-129 b,1,1,Transit,2017,8.239493,1.12,3459.09,0.36,-1.828,27.7957
K2-13 b,1,1,Transit,2015,39.91488,4.23,5698,0.8,-0.135,342.394
K2-130 b,1,1,Transit,2017,2.49412,2.1,4356.47,0.7,-0.776,118.011
K2-131 b,1,1,Transit,2017,0.36931,6.3,5245,0.84,-0.448,152.509
K2-132 b,1,1,Transit,2017,9.1751,155.7367,4840,1.08,0.943,609.818
K2-133 b,1,4,Transit,2017,3.07133,2.36,3655,0.46,-1.479,75.1703
K2-133 c,1,4,Transit,2017,4.86784,3.2,3655,0.46,-1.479,75.1703
K2-133 d,1,4,Transit,2017,11.02454,4.67,3655,0.46,-1.479,75.1703
K2-133 e,1,4,Transit,2019,26.5841,3.64,3655,0.46,-1.479,75.1703
K2-136 b,2,3,Transit,2017,7.975292,0.937,4499,0.74,-0.788,59.2474
K2-136 c,2,3,Transit,2017,17.307137,8.8,4499,0.74,-0.788,59.2474
K2-136 d,2,3,Transit,2017,25.575065,2.7,4499,0.74,-0.788,59.2474
K2-137 b,1,1,Transit,2017,0.179715,158.915,3492,0.46,-1.484,98.8765
K2-138 b,1,6,Transit,2017,2.35309,3.1,5356.3,0.94,-0.287,202.585
K2-138 c,1,6,Transit,2017,3.56004,6.31,5356.3,0.94,-0.287,202.585
K2-138 d,1,6,Transit,2017,5.40479,7.92,5356.3,0.94,-0.287,202.585
K2-138 e,1,6,Transit,2017,8.26146,12.97,5356.3,0.94,-0.287,202.585
K2-138 f,1,6,Transit,2017,12.75758,1.63,5356.3,0.94,-0.287,202.585
K2-138 g,1,6,Transit,2021,41.96797,4.32,5356.3,0.94,-0.287,202.585
K2-139 b,1,1,Transit,2017,28.380619,123.00021,5370,0.96,-0.299,153.856
K2-14 b,1,1,Transit,2015,8.36802,20.7,3789,0.47,-1.031,364.048
K2-140 b,1,1,Transit,2017,6.569188,295.58042,5585,0.96,-0.049,347.917
K2-141 b,1,2,Transit,2018,0.2803244,5.08,4599,0.71,-0.75,61.8736
K2-141 c,1,2,Transit,2018,7.7485,7.4,4599,0.71,-0.75,61.8736
K2-146 b,1,2,Transit,2018,2.6446,5.77,3385,0.33,-1.824,79.3002
K2-146 c,1,2,Transit,2019,4.00498,7.49,3385,0.33,-1.824,79.3002
K2-147 b,1,1,Transit,2018,0.961917,2.48,3672,0.58,-1.292,90.5494
K2-148 b,2,3,Transit,2018,4.38395,2.33,4079,0.65,-0.996,124.458
K2-148 c,2,3,Transit,2018,6.9226,3.64,4079,0.65,-0.996,124.458
K2-148 d,2,3,Transit,2018,9.7579,3.33,4079,0.65,-0.996,124.458
K2-149 b,1,1,Transit,2018,11.332,3.33,3745,0.59,-1.31,123.676
K2-15 b,1,1,Transit,2015,11.8104,6.71,5131,0.72,-0.453,493.992
K2-150 b,1,1,Transit,2018,10.59357,4.66,3499,0.46,-1.585,102.483
K2-151 b,2,1,Transit,2018,3.835476,2.83,3695,0.47,-1.553,69.4798
K2-152 b,1,1,Transit,2018,32.6479,5.86,4044,0.63,-1.06,108.449
K2-153 b,1,1,Transit,2018,7.51574,4.66,3845,0.55,-1.367,143.125
K2-154 b,1,2,Transit,2018,3.67626,4.62,4097,0.65,-1.018,129.356
K2-154 c,1,2,Transit,2018,7.95486,4.94,4097,0.65,-1.018,129.356
K2-155 b,1,3,Transit,2018,6.342,3.89,4258,0.65,-1.229,72.7998
K2-155 c,1,3,Transit,2018,13.85,7.27,4258,0.65,-1.229,72.7998
K2-155 d,1,3,Transit,2018,40.718,4.27,4258,0.65,-1.229,72.7998
K2-156 b,1,1,Transit,2018,0.81314,1.6,4597,0.66,-0.798,150.21
K2-157 b,1,1,Transit,2018,0.365257,1.18,5456,0.94,-0.21,298.373
K2-158 b,1,2,Transit,2018,10.06049,7.46,5503,0.92,-0.157,197.299
K2-158 c,1,2,Transit,2018,5.90279,2.18,5503,0.92,-0.157,197.299
K2-159 b,1,1,Transit,2018,12.42205,5.73,5425,0.9,-0.289,170.998
K2-16 b,1,3,Transit,2015,7.6188,4.74,4742,0.68,-0.761,334.967
K2-16 c,1,3,Transit,2015,19.07863,6.99,4742,0.68,-0.761,334.967
K2-160 b,1,1,Transit,2018,3.705871,10.2,5649,0.98,-0.137,315.363
K2-161 b,1,1,Transit,2018,9.283188,31.1,4972,0.99,0.919,916.319
K2-162 b,1,1,Transit,2018,9.45889,2.67,4842,0.75,-0.61,124.433
K2-163 b,1,1,Transit,2018,6.673117,6.65,4937,0.83,-0.541,208.529
K2-164 b,1,1,Transit,2018,17.355066,10.6,5791,1.18,0.59,375.67
K2-165 b,1,3,Transit,2018,2.354992,2.17,5185,0.83,-0.37,134.591
K2-165 c,1,3,Transit,2018,4.382745,3.03,5185,0.83,-0.37,134.591
K2-165 d,1,3,Transit,2018,14.101361,7.5,5185,0.83,-0.37,134.591
K2-166 b,1,2,Transit,2018,8.52695,5.43,5960,1.16,0.462,476.882
K2-167 b,1,1,Transit,2018,9.977481,8.34,5908,1.02,0.442,80.8994
K2-168 b,1,2,Transit,2018,15.8523,4.12,5502.7,0.88,-0.176,243.935
K2-169 b,1,1,Transit,2018,6.380803,2.16,5548,0.99,-0.161,235.867
K2-17 b,1,1,Transit,2015,17.96753,5.6,4320,0.71,-0.91,125.106
K2-170 b,1,2,Transit,2018,7.576544,2.6,5748,0.96,0.072,392.872
K2-170 c,1,2,Transit,2018,12.400047,3.9,5748,0.96,0.072,392.872
K2-171 b,1,1,Transit,2018,5.628466,7.69,5250,0.89,0.516,606.128
K2-172 b,1,2,Transit,2018,14.316941,3.42,5569,0.93,-0.232,249.742
K2-172 c,1,2,Transit,2018,29.62682,10.4,5569,0.93,-0.202,249.742
K2-173 b,1,1,Transit,2018,5.868699,3.22,5580,0.88,-0.06,228.641
K2-174 b,1,1,Transit,2018,19.562307,7.27,4455,0.7,-0.773,99.9293
K2-175 b,1,1,Transit,2018,9.525988,4.81,5909,1.09,0.419,247.266
K2-176 b,1,1,Transit,2018,5.329439,2.83,5428,0.94,-0.348,247.302
K2-177 b,1,1,Transit,2018,14.155185,5.13,6063,1.21,0.342,492.167
K2-178 b,1,1,Transit,2018,8.747818,12.4,5525,0.95,-0.284,214.753
K2-179 b,1,1,Transit,2018,5.172191,6.86,5015,0.82,-0.523,190.81
K2-18 b,1,2,Transit,2015,32.939623,8.92,3457,0.36,-1.597,38.0266
K2-18 c,1,2,Radial Velocity,2017,8.962,7.51,3457,0.36,-1.597,38.0266
K2-180 b,1,1,Transit,2018,8.8656511,11.44182,5306,0.72,-0.439,203.896
K2-181 b,1,1,Transit,2018,6.894256,8.45,5608,0.99,-0.013,360.911
K2-182 b,1,1,Transit,2018,4.7369729,7.75,5181,0.84,-0.392,154.83
K2-183 b,1,3,Transit,2018,0.469269,7.27,5482,0.94,-0.138,329.041
K2-183 c,1,3,Transit,2018,10.792635,8.6,5519,0.93,-0.132,329.041
K2-183 d,1,3,Transit,2018,22.631964,8.55,5519,0.93,-0.138,329.041
K2-184 b,1,1,Transit,2018,16.9780102,2.76,5245,0.84,-0.399,75.5857
K2-185 b,1,2,Transit,2018,10.616384,1.6,5788,0.96,-0.09,268.357
K2-185 c,1,2,Transit,2018,52.713494,6.3,5788,0.96,-0.09,268.357
K2-186 b,1,1,Transit,2018,41.474219,10.2,5784,1.02,0.05,330.739
K2-187 b,1,4,Transit,2018,0.77392,2.24,5484,0.98,-0.21,330.916
K2-187 c,1,4,Transit,2018,2.872042,3.89,5484,0.98,-0.21,330.916
K2-187 d,1,4,Transit,2018,7.14921,10.2,5484,0.98,-0.196,330.916
K2-187 e,1,4,Transit,2018,13.609878,6.26,5484,0.98,-0.21,330.916
K2-188 b,1,2,Transit,2018,1.742169,2.39,5977,1.06,0.184,446.821
K2-188 c,1,2,Transit,2018,7.810253,8.4,5977,1.06,0.211,446.821
K2-189 b,1,2,Transit,2018,2.588309,2.92,5519,0.94,-0.239,242.113
K2-189 c,1,2,Transit,2018,6.679195,6.8,5519,0.94,-0.219,242.113
K2-19 b,1,3,Transit,2015,7.9194,28.5,5430,0.93,-0.292,289.827
K2-19 c,1,3,Transit,2015,11.90715,7.5,5430,0.93,-0.305,289.827
K2-19 d,1,3,Transit,2016,2.50856,14,5430,0.93,-0.305,289.827
K2-190 b,1,2,Transit,2018,10.098858,2.41,5631,0.9,-0.068,160.679
K2-190 c,1,2,Transit,2018,21.574023,1.34,5631,0.9,-0.086,160.679
K2-191 b,1,1,Transit,2018,2.858646,3.12,5176,0.9,-0.345,287.188
K2-192 b,1,1,Transit,2018,4.162817,2.92,5222,0.9,-0.36,221.753
K2-193 b,1,1,Transit,2018,14.786889,14.8,5817,1.01,-0.076,411.923
K2-194 b,1,1,Transit,2018,39.721386,12.9,5979,1.11,0.363,629.51
K2-195 b,1,2,Transit,2018,15.852975,9.96,5713,0.94,-0.012,315.014
K2-195 c,1,2,Transit,2018,28.482786,7.16,5712,0.96,-0.053,315.014
K2-196 b,1,1,Transit,2018,48.324222,12.6,6045,1.16,0.644,584.877
K2-197 b,1,1,Transit,2018,8.357881,7.08,5667,1,-0.114,247.637
K2-198 b,1,3,Transit,2018,17.0428683,16.3,5212.9,0.8,-0.401,110.567
K2-198 c,1,3,Transit,2019,3.3596055,2.61,5212.9,0.8,-0.401,110.567
K2-198 d,1,3,Transit,2019,7.4500177,6.52,5212.9,0.8,-0.401,110.567
K2-199 b,1,2,Transit,2018,3.225338,4.16,4648,0.73,-0.721,107.518
K2-199 c,1,2,Transit,2018,7.374694,8.15,4648,0.73,-0.721,107.518
K2-200 b,1,1,Transit,2018,2.849883,2.43,5233,0.86,-0.429,184.131
K2-201 b,1,2,Transit,2018,1.05979,2.54,5507,0.96,-0.276,197.932
K2-201 c,1,2,Transit,2018,22.779878,10.8,5507,0.96,-0.276,197.932
K2-202 b,1,1,Transit,2018,3.405164,5.91,5491,0.97,-0.335,300.397
K2-203 b,1,1,Transit,2018,9.695101,2.45,5000,0.79,-0.485,166.147
K2-204 b,1,1,Transit,2018,7.055784,9.51,5755,1.01,0.253,577.235
K2-205 b,1,1,Transit,2018,26.672263,4.64,5890,0.95,0.194,405.301
K2-206 b,1,1,Transit,2018,18.294549,8.22,5043,0.79,-0.435,244.443
K2-207 b,1,1,Transit,2018,12.48749,7.3,5522,0.94,-0.173,363.064
K2-208 b,1,1,Transit,2018,4.190948,3.46,5582,0.93,-0.214,256.887
K2-209 b,1,1,Transit,2018,2.080615,0.586,4720,0.74,-0.588,76.4986
K2-21 b,1,2,Transit,2015,9.325038,4.04,4222.06,0.68,-0.985,83.6448
K2-21 c,1,2,Transit,2015,15.50192,6.76,4222.06,0.68,-0.985,83.6448
K2-210 b,1,1,Transit,2018,0.570233,0.474,5396,0.91,-0.249,176.51
K2-211 b,1,1,Transit,2018,0.669558,2.46,5221,0.88,-0.386,272.297
K2-212 b,1,1,Transit,2018,9.79551,6.9,4272,0.67,-0.91,109.218
K2-213 b,1,1,Transit,2018,8.13087,2.9,5794,1.07,0.247,389.702
K2-214 b,1,1,Transit,2018,8.596802,6.48,5854,1.05,0.196,300.64
K2-215 b,1,1,Transit,2018,8.269648,5.16,5704,1,-0.026,403.964
K2-216 b,1,1,Transit,2018,2.1748,8,4503,0.7,-0.721,115.461
K2-217 b,1,1,Transit,2018,14.074524,12.5,5967,1.1,0.232,381.878
K2-218 b,1,1,Transit,2018,8.679885,7.13,5757,1.05,-0.003,394.083
K2-219 b,1,3,Transit,2018,3.901287,2.38,5753,1.02,0.151,325.4
K2-219 c,1,3,Transit,2018,6.66767,2.66,5753,1.02,0.151,325.4
K2-219 d,1,3,Transit,2018,11.137278,7.16,5753,1.02,0.151,325.4
K2-22 b,2,1,Transit,2015,0.381078,444.962,3830,0.6,-1.113,243.836
K2-220 b,1,1,Transit,2018,13.683256,6.3,5660,0.96,-0.061,233.514
K2-221 b,1,1,Transit,2018,2.399094,3.46,5716,1.01,-0.064,318.81
K2-222 b,1,1,Transit,2018,15.387063,6.3,6058,1,0.139,101.321
K2-223 b,1,2,Transit,2018,0.50565,0.64,5835,1.06,0,198.604
K2-223 c,1,2,Transit,2018,4.56327,3.09,5835,1.06,0,198.604
K2-224 b,1,2,Transit,2018,4.47904,3.05,5620,0.91,-0.217,275.255
K2-224 c,1,2,Transit,2018,10.09489,6.39,5620,0.91,-0.217,275.255
K2-225 b,1,1,Transit,2018,15.87209,12,5742,1.27,0.433,357.778
K2-226 b,1,1,Transit,2018,3.27108,2.99,5424,0.88,-0.246,211.265
K2-227 b,1,1,Transit,2018,13.621832,3.41,5673,0.95,-0.167,187.234
K2-228 b,1,1,Transit,2018,2.69828,1.92,4715,0.71,-0.849,129.46
K2-229 b,1,2,Transit,2018,0.58426,2.49,5315,0.87,-0.383,102.564
K2-229 c,1,2,Transit,2018,8.32727,21.3,5315,0.87,-0.383,102.564
K2-230 b,1,1,Transit,2018,2.86041,4.5,5945,1.11,0.339,540.773
K2-231 b,1,1,Transit,2018,13.841901,6.8,5695,1.01,-0.112,321.215
K2-232 b,1,1,Transit,2018,11.168454,126.49634,6154,1.19,0.238,130.72
K2-233 b,1,3,Transit,2018,2.4675,11.26,5033,0.79,-0.523,67.5062
K2-233 c,1,3,Transit,2018,7.06005,12.81,5033,0.79,-0.523,67.5062
K2-233 d,1,3,Transit,2018,24.3645,21.14,5033,0.79,-0.523,67.5062
K2-237 b,1,1,Transit,2018,2.1805577,392.83788,6099,1.23,0.285,314.995
K2-238 b,1,1,Transit,2018,3.20466,273.3338,5630,1.19,0.36,537.963
K2-239 b,1,3,Transit,2018,5.24,1.37,3420,0.4,-1.796,31.0849
K2-239 c,1,3,Transit,2018,7.775,0.972,3420,0.4,-1.796,31.0849
K2-239 d,1,3,Transit,2018,10.115,1.37,3420,0.4,-1.796,31.0849
K2-24 b,1,2,Transit,2016,20.88977,19,5625,1.07,0.158,170.562
K2-24 c,1,2,Transit,2016,42.3391,15.4,5625,1.07,0.158,170.562
K2-240 b,1,2,Transit,2018,6.034,4.66,3810,0.58,-1.276,72.9105
K2-240 c,1,2,Transit,2018,20.523,3.89,3810,0.58,-1.276,72.9105
K2-241 b,1,1,Transit,2018,26.8199,7.04,5262,0.71,-0.441,149.464
K2-242 b,1,1,Transit,2018,6.51389,6.99,3459,0.38,-1.808,109.237
K2-243 b,1,2,Transit,2018,11.54182,5.35,6570,1.29,0.446,266.864
K2-243 c,1,2,Transit,2018,24.94598,4.7,6570,1.29,0.446,266.864
K2-244 b,1,1,Transit,2018,21.06884,3.71,5677,0.86,-0.097,212.902
K2-245 b,1,1,Transit,2018,11.89307,17.4,5793,0.83,0.193,456.064
K2-246 b,1,1,Transit,2018,5.76918,12,5610,0.87,-0.141,703.616
K2-247 b,1,2,Transit,2018,2.25021,5.14,4667,0.74,-0.833,258.113
K2-247 c,1,2,Transit,2018,6.49424,5.43,4667,0.74,-0.833,258.113
K2-248 b,1,1,Transit,2018,7.17256,7.13,5528,0.88,-0.171,406.254
K2-249 b,1,1,Transit,2018,12.409,8.2,6504,1.32,0.366,521.716
K2-25 b,1,1,Transit,2015,3.484552,11.6,3180,0.29,-2.076,44.9565
K2-250 b,1,1,Transit,2018,4.01457,6.53,5172,0.8,-0.404,414.708
K2-251 b,1,1,Transit,2018,9.30075,6.12,3717,0.52,-1.415,147.03
K2-252 b,1,1,Transit,2018,13.81513,3.68,5152,0.79,-0.402,228.839
K2-253 b,1,1,Transit,2018,4.00167,,6027,1.08,-0.072,876.565
K2-254 b,1,2,Transit,2018,4.09639,3.29,4629,0.71,-0.765,227.775
K2-254 c,1,2,Transit,2018,12.11839,5.43,4629,0.71,-0.765,227.775
